strike_type,strike_group,strike_frame,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y
forehand,1315aadf069b5fad219a80da39687168,15,288.879,133.439,302.559,137.38,317.189,168.613,336.782,191.113,275.209,128.518,259.549,133.429,270.271,144.213,286.938,192.125,294.769,237.077,294.744,284.947,267.376,189.167,253.718,229.249,238.028,269.276
forehand,1315aadf069b5fad219a80da39687168,16,287.899,128.527,303.534,131.487,316.276,159.885,331.892,176.472,272.268,122.686,254.674,129.574,267.376,121.72,287.902,188.185,293.806,235.121,295.713,283.993,268.347,184.253,254.637,223.376,239.053,262.485
forehand,1315aadf069b5fad219a80da39687168,17,285.975,120.754,301.584,123.68,309.432,148.124,324.046,159.794,271.281,115.867,252.725,126.596,269.352,109.967,288.894,182.318,293.798,231.19,298.666,281.053,269.359,177.44,253.705,218.479,240.968,260.489
forehand,1315aadf069b5fad219a80da39687168,18,284.97,113.945,297.67,120.748,292.781,146.152,0,0,271.31,109.019,252.707,120.768,238.081,131.482,290.819,179.389,294.742,226.317,300.623,278.122,270.279,175.484,253.656,214.612,240.982,254.672
forehand,1315aadf069b5fad219a80da39687168,19,284.929,112.886,295.724,115.835,290.845,143.219,0,0,270.339,107.08,253.65,120.717,253.698,121.715,292.74,176.466,297.686,223.395,302.547,276.149,271.268,174.481,252.703,213.595,240.009,253.719
forehand,1315aadf069b5fad219a80da39687168,1,291.786,129.531,299.644,130.506,316.231,160.845,332.84,152.956,283.965,128.551,0,0,0,0,281.074,191.084,294.733,235.12,297.671,284.98,268.347,185.276,262.508,229.216,250.768,270.289
forehand,1315aadf069b5fad219a80da39687168,20,284.926,109.998,294.758,112.898,291.801,137.375,0,0,270.344,107.079,251.711,120.738,253.692,122.685,293.734,173.515,299.649,223.386,306.468,274.218,276.138,169.627,252.71,210.691,239.055,253.725
forehand,1315aadf069b5fad219a80da39687168,21,284.913,107.071,294.745,111.909,291.82,136.389,0,0,270.312,106.067,249.762,126.589,254.645,121.731,293.771,173.514,299.645,222.361,308.447,270.31,276.163,169.607,253.671,213.624,239.018,256.637
forehand,1315aadf069b5fad219a80da39687168,22,284.003,107.062,293.802,107.041,0,0,0,0,270.356,108.037,251.721,129.564,248.784,121.705,293.755,172.552,299.645,222.366,311.374,269.343,275.199,170.602,253.724,215.577,240.968,261.489
forehand,1315aadf069b5fad219a80da39687168,23,280.082,108.042,292.779,110.954,292.752,137.385,0,0,269.302,107.047,253.708,136.405,248.782,123.663,292.823,172.548,300.551,221.397,315.262,269.331,274.223,172.553,254.668,221.431,245.852,266.408
forehand,1315aadf069b5fad219a80da39687168,25,278.159,114.858,278.139,114.886,260.532,145.168,247.831,130.555,0,0,0,0,0,0,282.045,180.36,300.591,225.327,316.268,269.277,279.117,180.374,260.505,231.23,255.671,283.008
forehand,1315aadf069b5fad219a80da39687168,26,278.123,120.709,284.997,120.723,265.427,151.04,252.723,136.423,271.269,120.721,262.497,152.064,249.762,136.393,284.982,183.268,299.639,229.238,316.23,268.321,277.161,184.274,261.517,237.048,263.451,289.849
forehand,1315aadf069b5fad219a80da39687168,27,278.105,121.738,272.261,119.773,256.627,130.55,263.487,118.775,283.983,125.635,265.407,156.887,249.795,139.319,271.287,191.143,261.544,240.971,268.337,293.801,284.008,191.105,296.716,234.121,313.33,268.334
forehand,1315aadf069b5fad219a80da39687168,2,292.759,129.517,300.58,132.459,316.255,159.835,332.901,151.995,284.963,127.575,302.58,152.018,0,0,282.032,190.159,293.78,237.044,295.747,284.989,268.337,185.277,262.514,228.281,247.814,269.366
forehand,1315aadf069b5fad219a80da39687168,3,292.74,129.519,298.65,130.497,316.265,159.832,333.862,151.97,284.998,128.542,307.451,137.354,325.073,127.555,282.047,191.13,293.791,238.007,295.742,285.958,269.275,187.222,262.523,229.243,246.844,269.328
forehand,1315aadf069b5fad219a80da39687168,4,292.778,130.549,298.662,135.379,316.201,159.867,333.876,151.994,285.972,129.519,308.399,136.348,327.992,128.571,282.046,192.099,294.742,238.046,295.716,286.906,269.341,190.128,262.505,230.247,243.923,269.36
forehand,1315aadf069b5fad219a80da39687168,5,292.784,133.436,296.707,136.355,315.238,160.812,334.845,152.995,287.886,129.563,308.448,138.326,330.902,133.442,282.023,193.098,299.611,239.059,294.782,286.933,270.293,191.139,262.495,231.249,240.01,269.363
forehand,1315aadf069b5fad219a80da39687168,6,292.802,136.382,294.771,137.362,312.355,161.823,333.878,155.932,287.919,135.376,310.37,161.788,332.864,153.981,282.021,197.965,300.607,240,294.763,286.922,270.321,194.072,262.455,235.117,239.981,271.307
forehand,1315aadf069b5fad219a80da39687168,7,293.744,137.334,293.801,138.326,309.455,166.666,334.838,159.803,292.769,135.415,309.44,145.215,330.885,145.182,281.067,199.923,300.646,239.994,294.774,286.904,270.344,197.979,262.443,237.076,240.015,272.245
forehand,1315aadf069b5fad219a80da39687168,8,292.802,141.283,292.807,144.176,306.488,167.693,332.842,166.68,292.763,138.335,312.32,151.05,332.858,152.009,283.025,200.906,301.546,240.017,294.769,285.966,271.284,198.964,261.504,239.03,239.988,274.216
forehand,1315aadf069b5fad219a80da39687168,9,291.821,144.164,293.766,144.234,301.635,168.613,331.852,175.463,286.948,142.23,308.424,152.97,327,153.99,284.966,204.801,301.56,240.962,294.763,285.981,270.296,199.952,261.5,239.038,239.061,275.17
forehand,1ce97a7e3be7391442fbcce1ca5111a6,0,219.924,306.206,180.705,308.112,117.969,321.782,139.62,251.261,257.145,306.06,321.786,302.162,382.485,274.845,178.732,456.99,212.092,556.85,186.585,619.621,215.983,453.069,212.156,554.949,176.85,619.612
forehand,1ce97a7e3be7391442fbcce1ca5111a6,10,196.377,319.916,227.774,337.522,292.464,388.45,366.808,382.511,164.999,300.259,131.789,341.414,157.269,353.11,182.763,447.184,182.772,547.098,180.612,605.893,155.256,443.28,194.425,541.265,192.467,605.879
forehand,1ce97a7e3be7391442fbcce1ca5111a6,8,196.437,325.716,214.087,347.274,239.438,413.832,245.389,429.616,178.761,304.155,133.66,339.451,165.002,357.093,180.772,447.124,192.422,547.115,180.732,603.885,190.539,445.199,214.085,505.956,0,0
forehand,1ce97a7e3be7391442fbcce1ca5111a6,9,196.372,323.768,227.73,349.182,274.828,411.874,321.731,431.512,165.033,302.182,131.709,351.081,163.035,353.164,186.621,447.203,186.602,549.082,180.757,605.918,159.144,443.239,196.394,541.275,192.512,605.878
forehand,26b98288596d46739bd530faeda56ecd,0,291.798,153.981,300.596,160.829,321.12,193.098,354.383,186.249,282.049,150.055,308.437,161.816,334.821,160.806,277.109,231.182,308.401,277.126,293.731,337.738,258.566,228.258,246.863,278.155,215.586,323.082
forehand,26b98288596d46739bd530faeda56ecd,10,228.251,134.4,246.804,143.209,250.759,177.42,261.462,195.041,207.74,122.72,185.265,142.222,201.88,123.678,229.234,215.575,239.068,275.169,245.841,340.703,201.888,214.556,198.895,270.267,197.968,325.03
forehand,26b98288596d46739bd530faeda56ecd,11,222.382,128.574,240.023,136.392,236.099,164.74,0,0,201.865,120.72,176.508,141.279,182.334,133.455,226.334,214.566,231.227,274.218,238.007,339.738,199.962,213.606,192.114,270.274,191.102,323.104
forehand,26b98288596d46739bd530faeda56ecd,12,214.597,127.594,236.069,134.423,0,0,0,0,193.106,120.755,167.69,143.237,175.486,131.486,223.348,214.564,223.386,271.301,233.142,336.79,197.962,213.59,186.251,269.362,180.377,325.039
forehand,26b98288596d46739bd530faeda56ecd,13,208.703,126.59,230.221,129.585,0,0,0,0,190.123,120.739,159.854,147.157,171.585,127.579,220.441,210.664,220.452,269.36,232.191,332.917,193.097,208.74,181.352,270.31,168.637,333.837
forehand,26b98288596d46739bd530faeda56ecd,14,206.719,126.584,225.341,128.566,0,0,0,0,184.292,122.73,155.935,153.971,155.931,144.219,215.598,208.734,216.575,268.35,236.101,332.902,191.141,208.741,171.583,277.127,159.844,340.698
forehand,26b98288596d46739bd530faeda56ecd,15,199.903,126.616,218.509,127.548,0,0,0,0,180.376,127.573,153.044,165.703,150.068,150.082,211.651,207.752,214.609,268.346,238.045,331.865,187.22,210.678,161.787,283.006,149.093,348.514
forehand,26b98288596d46739bd530faeda56ecd,16,193.107,130.527,212.609,129.542,0,0,0,0,176.427,133.431,152.972,177.457,144.156,156.896,206.764,222.387,215.552,275.194,238.996,328.973,182.317,223.368,153.966,284.972,140.291,349.514
forehand,26b98288596d46739bd530faeda56ecd,17,187.218,136.346,199.963,136.348,195.022,169.617,0,0,171.58,137.347,152.982,190.154,137.359,168.669,198.963,230.21,214.546,278.142,239.056,325.047,175.52,230.244,146.151,293.742,134.408,357.312
forehand,26b98288596d46739bd530faeda56ecd,19,176.454,154.008,187.224,151.995,168.68,145.172,159.834,139.293,165.714,160.823,152.024,214.54,127.545,196.983,189.152,239.029,198.899,282.025,236.104,318.187,174.473,246.857,135.369,310.394,0,0
forehand,26b98288596d46739bd530faeda56ecd,1,285.906,156.903,292.814,161.822,310.407,196.991,347.56,193.1,278.101,151.99,303.553,166.676,330.91,167.639,269.359,231.222,302.588,276.132,293.733,336.782,253.648,229.239,240.964,279.116,213.623,324.06
forehand,26b98288596d46739bd530faeda56ecd,20,169.623,163.757,172.547,166.653,154.001,216.531,121.746,214.542,164.728,167.631,152.977,221.408,119.737,214.555,183.321,249.79,190.152,286.922,230.239,318.186,168.639,254.669,129.501,313.332,127.576,357.353
forehand,26b98288596d46739bd530faeda56ecd,21,166.656,167.69,169.623,166.683,137.37,181.344,143.2,160.843,160.85,171.575,153.033,225.343,113.927,238.011,183.269,251.736,180.366,292.775,223.433,317.253,167.636,254.672,125.611,313.321,126.6,357.353
forehand,26b98288596d46739bd530faeda56ecd,2,279.121,158.83,284.987,161.818,302.547,198.95,339.666,206.726,273.241,152.986,298.638,167.657,323.058,168.63,261.497,234.135,300.566,274.222,293.732,337.747,253.676,231.175,237.077,278.161,213.575,323.107
forehand,26b98288596d46739bd530faeda56ecd,3,272.284,158.83,279.099,164.736,293.747,198.951,325.039,216.566,264.464,152.05,286.946,167.66,307.429,170.617,258.565,232.201,292.746,275.19,292.83,337.748,240.007,230.218,231.254,277.144,210.665,325.028
forehand,26b98288596d46739bd530faeda56ecd,4,268.354,155.946,276.169,161.816,285.953,199.902,316.209,228.283,260.526,151.996,277.183,166.667,288.869,171.571,252.68,232.172,283.977,277.104,292.73,337.742,233.156,230.189,230.215,275.181,208.706,325.077
forehand,26b98288596d46739bd530faeda56ecd,5,261.537,154.955,270.315,160.836,279.123,202.857,305.511,235.119,253.66,150.071,0,0,0,0,245.86,230.243,274.232,279.112,291.775,337.753,225.353,225.345,223.387,277.116,207.701,326.007
forehand,26b98288596d46739bd530faeda56ecd,6,254.7,154.967,267.37,164.737,273.257,207.751,296.715,245.823,244.898,146.153,0,0,0,0,239.057,229.251,266.401,279.089,285.915,334.808,218.512,223.382,219.49,276.142,205.79,326.046
forehand,26b98288596d46739bd530faeda56ecd,7,247.839,152.996,263.485,162.795,269.301,207.761,286.928,246.827,233.173,143.23,221.387,151.997,0,0,238.055,229.224,260.519,279.134,280.07,331.906,214.563,222.415,215.533,273.235,205.786,327.974
forehand,26b98288596d46739bd530faeda56ecd,8,239.996,145.216,258.56,158.849,262.537,206.787,279.099,239.074,223.404,134.423,207.755,146.182,220.435,154.939,232.197,225.326,254.715,280.095,270.329,334.839,207.736,221.413,207.749,273.232,204.797,326.026
forehand,26b98288596d46739bd530faeda56ecd,9,234.136,139.325,253.641,151.976,258.563,192.131,270.332,220.425,215.599,128.567,196.98,144.201,209.707,130.523,231.19,220.448,247.846,278.147,256.64,339.726,204.811,214.585,201.871,270.303,199.949,326.039
forehand,2b729c03930cc50eba7dd2e664f62019,0,364.187,147.117,379.816,152.022,396.445,191.091,409.1,178.416,348.553,144.215,0,0,0,0,363.144,220.45,378.852,268.325,394.481,321.118,339.699,215.589,324.044,271.289,300.596,317.252
forehand,2b729c03930cc50eba7dd2e664f62019,10,388.584,153.033,403.267,159.847,419.879,195.04,445.294,224.398,373.938,148.096,0,0,0,0,379.83,224.354,394.399,269.287,394.466,321.151,356.326,218.484,334.821,269.326,317.188,314.308
forehand,2b729c03930cc50eba7dd2e664f62019,11,390.528,152.019,409.125,159.864,422.802,195.999,445.302,229.228,372.944,143.224,355.378,148.121,364.177,160.834,383.71,223.354,392.48,269.291,394.441,320.171,357.332,215.569,337.749,267.369,321.14,314.295
forehand,2b729c03930cc50eba7dd2e664f62019,12,393.452,145.206,411.03,154.941,422.816,192.134,442.384,226.3,373.932,136.406,348.506,143.222,357.318,156.901,387.576,219.465,388.622,266.396,394.453,319.186,361.228,211.66,340.642,262.471,325.03,313.321
forehand,2b729c03930cc50eba7dd2e664f62019,13,392.509,139.317,410.111,148.114,419.894,184.311,436.493,216.561,373.937,130.537,347.491,139.331,355.313,143.195,387.598,214.561,388.573,263.48,395.403,319.196,363.142,207.73,341.673,256.6,329.91,309.4
forehand,2b729c03930cc50eba7dd2e664f62019,14,390.526,135.366,406.189,142.258,415.974,174.475,426.714,198.948,372.977,127.569,347.532,136.328,353.392,129.531,387.639,207.743,388.573,261.483,396.401,317.244,364.194,202.866,343.609,252.671,331.897,302.596
forehand,2b729c03930cc50eba7dd2e664f62019,15,388.573,129.509,402.305,136.384,406.171,166.673,411.064,175.464,374.908,122.696,347.569,129.552,362.215,120.749,387.64,203.816,389.553,257.61,397.392,316.216,366.093,198.92,346.532,244.888,332.848,294.759
forehand,2b729c03930cc50eba7dd2e664f62019,16,387.61,126.604,401.312,133.449,0,0,0,0,373.916,120.69,347.548,124.656,369.037,109.016,389.567,198.937,392.503,254.638,398.371,314.281,369.99,195.027,346.544,238.057,332.879,286.942
forehand,2b729c03930cc50eba7dd2e664f62019,17,386.656,120.77,400.312,128.508,0,0,0,0,372.945,114.888,348.472,122.715,364.144,108.033,392.498,196.991,394.473,253.681,401.255,309.449,370.026,192.123,346.569,231.246,331.923,284.94
forehand,2b729c03930cc50eba7dd2e664f62019,18,387.572,117.819,398.348,121.711,0,0,0,0,375.863,113.862,348.555,128.53,362.186,106.089,394.426,192.105,395.435,250.761,402.288,306.482,371.976,190.139,346.567,232.162,331.888,284.955
forehand,2b729c03930cc50eba7dd2e664f62019,19,386.609,114.863,397.368,119.762,380.758,132.464,0,0,372.976,112.91,350.459,137.328,355.309,121.73,394.462,191.114,395.462,246.879,403.291,303.544,373.923,188.193,347.494,233.158,332.839,286.943
forehand,2b729c03930cc50eba7dd2e664f62019,1,366.127,151.052,380.759,156.905,402.218,191.143,418.851,177.465,353.394,145.15,0,0,0,0,362.199,222.42,380.763,269.321,394.459,324.051,339.731,220.45,324.065,273.227,298.637,317.234
forehand,2b729c03930cc50eba7dd2e664f62019,20,385.669,114.877,395.457,118.771,381.777,144.181,0,0,372.943,113.914,355.299,144.196,348.562,128.578,395.395,190.13,395.475,245.884,405.195,301.601,376.852,189.165,347.57,236.088,333.885,292.793
forehand,2b729c03930cc50eba7dd2e664f62019,21,385.634,113.879,394.462,113.882,387.605,147.139,0,0,372.981,113.93,356.343,151.055,349.469,136.354,394.488,185.257,395.437,244.905,405.204,301.562,377.835,186.225,349.472,239.021,339.743,298.647
forehand,2b729c03930cc50eba7dd2e664f62019,22,383.709,116.821,392.492,115.862,372.974,152.005,0,0,373.944,118.762,361.196,158.848,349.473,141.255,394.473,189.181,395.427,245.896,405.215,300.634,378.842,191.103,352.42,245.815,347.485,302.59
forehand,2b729c03930cc50eba7dd2e664f62019,23,381.739,125.612,388.593,127.549,382.719,160.832,0,0,374.896,124.657,364.174,165.701,351.444,146.187,393.478,193.098,395.415,246.896,403.298,300.585,378.828,196.014,354.381,252.71,352.435,313.303
forehand,2b729c03930cc50eba7dd2e664f62019,2,369.993,153.005,380.782,159.843,403.234,193.101,423.762,182.296,356.291,148.128,370.989,160.822,0,0,360.24,224.36,385.621,269.31,394.46,324.078,340.707,222.392,324.077,275.196,297.679,317.237
forehand,2b729c03930cc50eba7dd2e664f62019,3,370.979,155.913,380.805,161.779,404.241,195.047,426.736,184.33,358.288,151.987,374.912,160.819,0,0,362.196,228.262,387.577,269.341,394.472,324.065,342.635,223.366,324.086,277.17,297.669,317.249
forehand,2b729c03930cc50eba7dd2e664f62019,4,371.984,158.868,382.71,164.725,406.198,196.981,433.547,190.12,363.141,152.964,387.602,162.791,411.063,159.842,362.21,229.26,387.657,269.275,394.493,324.043,345.57,224.373,325.034,278.108,299.607,316.28
forehand,2b729c03930cc50eba7dd2e664f62019,5,375.889,159.791,386.596,165.718,409.094,196.985,440.386,193.103,365.131,152.998,394.446,166.695,415.949,162.773,364.171,231.171,390.557,268.333,395.389,323.104,346.57,226.329,327.031,277.179,300.619,314.279
forehand,2b729c03930cc50eba7dd2e664f62019,6,378.808,159.843,387.623,166.675,411.068,197.949,442.378,200.933,369.019,153.037,379.857,160.846,0,0,368.056,230.243,393.481,269.275,395.394,323.081,348.478,226.311,331.856,277.106,301.597,313.328
forehand,2b729c03930cc50eba7dd2e664f62019,7,380.758,159.826,390.553,167.628,413.989,196.011,445.287,211.665,371.013,152.997,385.639,160.865,0,0,370.97,231.213,394.447,269.28,395.388,323.066,349.485,228.274,331.858,277.107,302.569,315.241
forehand,2b729c03930cc50eba7dd2e664f62019,8,385.645,158.855,395.433,163.749,417.888,197.943,444.325,217.524,372.935,152.062,0,0,0,0,372.973,228.278,394.457,269.31,394.492,323.066,353.39,223.365,332.844,273.241,308.406,311.364
forehand,2b729c03930cc50eba7dd2e664f62019,9,386.667,155.94,400.298,161.813,418.877,196.978,444.32,222.436,374.888,151.977,0,0,0,0,378.774,227.278,394.462,269.321,394.494,323.081,355.347,222.386,332.887,271.314,311.35,313.314
forehand,2ba903b98c52029080e27e55178ce181,0,168.671,114.875,166.649,114.888,171.583,129.513,182.324,122.689,174.491,114.894,181.356,127.564,197.946,128.524,152.971,150.048,164.709,176.465,150.062,199.877,160.829,150.082,167.665,175.492,155.934,193.079
forehand,2ba903b98c52029080e27e55178ce181,10,162.782,109.016,168.648,111.928,175.476,121.711,176.471,111.953,158.851,107.072,146.16,118.778,152.014,113.922,159.822,145.173,158.828,169.61,137.341,183.244,152.979,144.169,159.828,170.576,159.858,187.205
forehand,2ba903b98c52029080e27e55178ce181,11,162.779,109.018,168.642,111.927,175.489,121.701,176.47,111.948,158.852,107.074,146.16,118.774,152.017,113.925,159.823,145.17,158.833,169.607,137.349,182.334,152.982,144.169,159.829,170.578,159.851,187.21
forehand,2ba903b98c52029080e27e55178ce181,12,165.679,109.993,168.666,112.878,173.542,120.71,175.521,110.95,159.848,107.087,146.19,118.781,151.982,113.909,159.852,144.223,158.824,168.693,137.359,183.25,152.973,143.215,159.793,170.608,159.852,186.243
forehand,2ba903b98c52029080e27e55178ce181,13,167.668,109.011,175.498,112.896,170.614,120.763,174.5,107.062,159.837,106.078,147.151,118.756,151.993,112.928,160.851,144.178,159.815,169.62,138.338,183.28,152.96,141.255,159.798,170.59,159.826,185.283
forehand,2ba903b98c52029080e27e55178ce181,14,167.629,109.027,175.465,112.89,174.481,120.723,174.487,106.038,159.789,106.123,149.103,120.696,152.031,109.01,161.821,144.234,159.806,169.641,138.354,184.246,153.006,143.196,158.862,169.634,159.797,184.315
forehand,2ba903b98c52029080e27e55178ce181,15,167.667,111.905,175.432,112.903,169.634,120.726,0,0,159.866,108.996,152.017,120.77,153.036,107.086,161.818,145.164,159.801,169.637,138.324,185.261,153.966,144.151,158.88,169.624,159.831,184.32
forehand,2ba903b98c52029080e27e55178ce181,16,167.647,111.938,174.5,112.948,170.588,127.566,0,0,159.834,108.058,153.959,123.666,153.98,125.622,162.762,145.217,157.897,170.593,137.333,186.221,155.931,144.207,159.796,170.589,159.81,184.258
forehand,2ba903b98c52029080e27e55178ce181,17,169.609,111.941,167.62,111.937,159.841,126.579,156.918,133.434,175.433,112.889,168.619,128.565,0,0,160.837,145.145,156.91,168.637,137.389,185.257,166.649,145.187,159.838,168.658,159.86,183.303
forehand,2ba903b98c52029080e27e55178ce181,18,169.606,111.939,167.631,111.939,159.858,126.594,156.897,133.441,174.513,112.879,167.689,128.566,0,0,160.841,145.15,156.906,168.639,137.389,185.262,165.706,145.188,159.838,168.657,159.859,183.299
forehand,2ba903b98c52029080e27e55178ce181,19,168.668,114.865,174.521,114.898,168.637,128.588,0,0,163.767,113.945,156.924,128.588,152.032,132.479,167.611,145.224,158.867,167.657,138.374,183.338,160.857,145.201,159.877,167.659,160.794,183.273
forehand,2ba903b98c52029080e27e55178ce181,1,168.61,114.908,166.646,114.913,172.555,128.562,189.154,130.525,171.575,114.9,183.302,126.587,196.01,130.528,152.979,150.044,163.767,176.446,149.1,198.981,160.814,150.052,166.68,176.444,153.984,194.059
forehand,2ba903b98c52029080e27e55178ce181,2,168.617,114.89,166.67,114.909,168.66,136.348,172.537,156.903,171.559,114.871,182.307,125.633,192.08,132.476,153.958,148.105,161.83,175.506,150.068,198.961,160.8,147.139,165.717,175.466,155.923,193.073
forehand,2ba903b98c52029080e27e55178ce181,3,167.679,114.867,165.72,114.883,170.587,128.579,185.279,131.49,169.639,114.859,176.48,128.573,185.246,131.476,153.969,147.119,160.803,174.481,151.027,197.953,160.808,147.119,165.686,174.484,158.842,191.096
forehand,2ba903b98c52029080e27e55178ce181,4,167.614,115.839,166.678,116.828,170.583,139.297,175.461,159.818,167.624,114.882,168.668,137.333,174.502,157.871,153.04,150.077,160.846,175.518,149.087,195.021,159.808,150.052,162.789,175.447,156.896,190.134
forehand,2ba903b98c52029080e27e55178ce181,5,167.615,114.914,166.676,116.828,170.581,138.372,175.471,159.819,167.625,114.875,168.672,137.329,174.495,156.907,153.044,150.064,160.849,175.51,149.081,195.017,159.816,149.098,162.796,175.44,156.912,190.125
forehand,2ba903b98c52029080e27e55178ce181,6,164.722,117.819,167.704,120.748,175.465,139.295,183.267,153.968,159.858,114.864,170.581,137.367,181.34,152.036,156.915,148.12,160.84,174.511,144.215,191.135,153.993,146.18,164.74,173.516,158.872,188.211
forehand,2ba903b98c52029080e27e55178ce181,7,165.694,114.885,160.863,114.871,176.425,132.475,185.294,146.182,167.639,114.902,176.471,134.409,183.302,145.166,154.003,146.173,160.826,172.535,143.195,189.154,159.852,146.184,165.718,169.639,159.805,189.148
forehand,2ba903b98c52029080e27e55178ce181,8,166.693,113.866,160.828,112.894,169.606,122.714,183.293,129.506,169.633,113.922,177.455,128.524,184.321,130.507,153.974,145.178,159.844,170.58,138.322,185.251,160.85,145.21,166.651,168.609,159.87,187.213
forehand,2ba903b98c52029080e27e55178ce181,9,162.797,110.952,165.712,111.906,174.514,124.641,178.426,120.743,160.802,109.014,150.04,120.728,151.979,120.741,158.835,145.201,158.878,170.612,137.406,184.286,158.869,145.157,160.875,171.555,159.86,188.167
forehand,2fe32cc1af8fe1a6051f39bb8f6ad2d7,0,144.205,151.041,136.374,149.075,125.625,174.502,127.598,193.093,152.026,152.054,164.713,176.467,178.412,171.581,123.667,206.792,149.081,249.792,137.382,309.415,127.562,206.782,130.501,250.77,108.047,293.746
forehand,2fe32cc1af8fe1a6051f39bb8f6ad2d7,10,126.585,142.243,139.336,145.205,158.86,148.105,148.1,138.331,111.927,137.357,98.2628,162.784,107.075,169.608,127.578,204.819,136.42,250.761,138.35,297.661,107.086,202.861,112.947,246.825,106.119,293.8
forehand,2fe32cc1af8fe1a6051f39bb8f6ad2d7,11,127.584,137.384,143.227,141.269,151.009,137.394,143.243,131.491,111.936,136.362,99.2425,160.872,0,0,129.534,200.911,137.315,248.8,139.296,293.816,111.914,200.888,112.958,245.885,106.117,293.809
forehand,2fe32cc1af8fe1a6051f39bb8f6ad2d7,12,127.565,136.401,143.193,136.412,0,0,0,0,111.914,136.367,98.2941,164.717,106.086,168.671,129.584,198.921,137.33,247.842,139.3,293.749,112.886,198.944,113.862,245.824,107.038,293.804
forehand,2fe32cc1af8fe1a6051f39bb8f6ad2d7,13,126.61,136.341,140.281,136.391,0,0,0,0,111.946,135.387,99.2569,160.805,102.152,173.518,130.527,196.011,137.353,246.881,138.344,292.825,112.94,197.942,113.898,244.899,107.066,293.804
forehand,2fe32cc1af8fe1a6051f39bb8f6ad2d7,14,126.587,135.378,139.302,135.385,0,0,0,0,111.934,134.416,101.199,161.811,107.07,167.621,132.482,193.076,137.398,245.873,138.37,292.805,113.935,195.025,113.885,243.925,108.038,293.776
